隐藏,公益站,每日签到,状态,评分,注册,邀请制,模型质量,体验感,其他,其他2·白嫖org,其他3·飞书合集,其他4·幻城导航,验证,模型,响应,渠道状态,注册链接,签到地址
,基元律动,,有效,顶级,68元,,国模，有glm5.3,能用好几天，路由自动切换，速度比较快,下载agent软件，但是对小白友好,"白嫖org:基元律动的好友邀请活动已延长；好友完成注册并下载使用 opensquilla 后，可获得价值 68 元的 token 额度，同时还能用统一 api key 接入多模型。 | 标签:免费api,opensquilla,邀请活动,openai兼容,claude兼容",,幻城导航:一个北京的企业的网站，注册送六十多块钱的token，正常价格调用，邀请人又是六十多，嘎嘎爽，速来 | 社区评分5.0,,"glm-5.3,gpt-5.5,claude-opus",0.8s,正常,https://tokenrhythm.studio/i/rf_tr_Nii7WjYsktO0e-CAC4HMhEpC,https://tokenrhythm.studio/account/referrals
,zcode,,有效,顶级,送3亿token，可用GLM5.3-flash，有效期3天,,国模，有glm5.3,经常系统繁忙，多点几次就行,下载agent软件，但是对小白友好,,,,,,,,https://zcode.z.ai,
,AgentRouter,25刀,失效,夯,150刀,50刀,"每日限量：gpt和claude
dsf和glm不限量",快，体验不错,,"白嫖org:agentrouter 是一条速度很快的公益 api 线路，目前可用 claude opus 4.8 和 gpt-5.6 sol。首次注册可领 175 美元新人额度，通过本页 aff 邀请入口注册还可拿到 50 美元邀请额度。 | 标签:免费api,claude,gpt,claude code,opus 4.8,gpt-5.6 sol,注册送额度","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,8.29,,,,https://agentrouter.org/register?aff=CzEG,https://agentrouter.org/console
,NOFX,5刀,有效,夯,5刀,5刀,纯度相当于一半sol，新开的公益站,,,"白嫖org:nofx 注册送 20 积分，每日签到送 5 积分，每成功邀请一位好友再得 5 积分；积分可用于主流模型，优势是分组倍率较低，适合先用免费额度做日常体验。 | 标签:免费api,注册送积分,每日签到,邀请奖励,低倍率,主流模型","飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",,8.29,,,,https://nofx.one/zh-CN/sign-in?ref=91CFCXG7,https://nofx.one/zh-CN/tasks
,sharezzz,,有效,,注册+加入QQ群，领codex入门卡50刀（1亿）,,,,,,,,8.29,,,,https://api.sharezzz.com/register?aff=HGU6HK4RHW6A,https://api.sharezzz.com/dashboard
,rua,10-100额度,有效,,200额度,不充值无返利,,,,"白嫖org:gemini 和 grok 免费、claude 走收费的公益站，受邀注册送 10 刀、每天签到再补 2–5 刀，综合倍率 0.5。站子风格比较「猛男」、口味重，介意的绕道；冲着免费 gemini / grok 来的可以薅。openai 兼容直连。 | 标签:免费api,gemini,grok,限免,每日签到","飞书合集档位:NPC(能签尽量签,蚊子再小也是肉)",,,,,,https://api.rua.chat/sign-up?aff=Lxge,https://api.rua.chat/dashboard/overview
,幻城,100元左右,有效,顶级,10000元,,垃圾模型，量大但降智,稳定但是很慢,耐蹬；是注册公司,,"飞书合集档位:夯(推荐每天签到,给的额度多,额度耐用)",幻城导航:有人投稿说本站是垃圾，故已批准同意，欢迎大家访问垃圾 | 社区评分5.0,,,,,https://api.hcnsec.cn/,https://api.hcnsec.cn/profile
,维云,每天奖励，第五天白嫖保底能用sol,,NPC,好像是3刀,额度充值券,模型全但是有点降智,慢但是稳定,耐蹬；还能抽卡，额度用不完，任务跑得太慢像在演我,"白嫖org:免费区直接挂着 claude-opus-4-8-free、glm-5.2-free 还有一票国产开源的公益大站，每天领一份保底套餐、还能多次抽奖攒小额额度。模型杂、站子稳，openai 兼容，拿来当长期备用很顶。 | 标签:免费api,claude,开源模型,限免,每日签到,生图","飞书合集档位:拉完了(额度少事儿多,极不推荐,但倍率小适合当付费站)",,,,,,https://vsllm.com/i/KqXK,https://vsllm.com/console/personal
,肖恩,1000每日过期,,,8000,2000,,,解锁邀请任务才能依次解锁模型，有点折磨人了,"白嫖org:新人注册立得 5000 点免费额度，每日签到再领 1000~3000 点，免费用 claude opus 4.5 / sonnet 4.5、gemini 3.1 pro 等大模型，按「额度/次」扣的公益免费线路。 | 标签:免费api,claude,gemini,deepseek,每日签到","飞书合集档位:NPC(能签尽量签,蚊子再小也是肉)",幻城导航:这家注册送的挺多，每天刷新，邀请人送的也特别多，但是模型疑似都是假的，有内置提示词注入，然后模型能力看起来很垃圾，不过好在可以白嫖的额度很多，你要是不挑模型，这个就随便，反正能白嫖的量大，付钱还是算了,,,,,https://free.supxh.xin/register?code=XR4HB7,https://free.supxh.xin/dashboard
,星见雅,1000左右自定义货币,复活了,,,,68个模型，很全,,页面UI很漂亮,"白嫖org:模型多到挑花眼的公益免费 api 站，自家「银狮」币制、10 银狮兑 1 刀。注册到手 200 银狮，签到还随机爆送（我一发签到就进账 1324 银狮）。一把 key 拉出来一百多个模型——grok 4 全家桶、deepseek-v4、qwen3.5、glm5.1、kimi、minimax、小米 mimo、llama4 全在，openai 兼容直接接客户端。 | 标签:免费api,deepseek,grok,qwen,kimi,注册送额度",,,,,,,https://new.xinjianya.top/register?aff=ocjL,https://new.xinjianya.top/console/personal
